,Winner,Pegs removed
1438,1,"[[(0, 2)], [(1, 2)], [(1, 4), (4, 4)], [(2, 1)], [(2, 3), (3, 3)], [(2, 2)], [(0, 0), (3, 0), (4, 0)]]"
1439,1,"[[(4, 0), (0, 0), (3, 0)], [(1, 4), (1, 2)], [(4, 4)], [(2, 1)], [(2, 3), (2, 2)], [(0, 2)], [(3, 3)]]"
1440,1,"[[(4, 0)], [(0, 2)], [(4, 4)], [(0, 0), (3, 0)], [(1, 2)], [(2, 1)], [(1, 4)], [(2, 3), (2, 2)], [(3, 3)]]"
1441,2,"[[(3, 3)], [(4, 0), (3, 0)], [(0, 2), (0, 0)], [(4, 4)], [(1, 4)], [(2, 3)], [(1, 2)], [(2, 1), (2, 2)]]"
1442,2,"[[(4, 4)], [(0, 0)], [(2, 1), (2, 3)], [(1, 4)], [(1, 2)], [(3, 0), (4, 0)], [(3, 3)], [(0, 2), (2, 2)]]"
1443,1,"[[(2, 2), (0, 2), (1, 2)], [(2, 3), (3, 3)], [(0, 0)], [(1, 4)], [(4, 4)], [(4, 0), (3, 0)], [(2, 1)]]"
1444,1,"[[(2, 2), (2, 3), (2, 1)], [(4, 0), (4, 4)], [(1, 4)], [(3, 3)], [(0, 2), (0, 0)], [(3, 0)], [(1, 2)]]"
1445,1,"[[(3, 0), (3, 3)], [(0, 2), (2, 2)], [(1, 2)], [(4, 0)], [(0, 0)], [(1, 4), (4, 4)], [(2, 1), (2, 3)]]"
1446,2,"[[(0, 2), (0, 0)], [(1, 2)], [(4, 0)], [(3, 0)], [(3, 3)], [(2, 1)], [(4, 4)], [(2, 3)], [(1, 4)], [(2, 2)]]"
1447,1,"[[(3, 0)], [(3, 3)], [(0, 2), (0, 0)], [(4, 0), (4, 4)], [(2, 1)], [(2, 2), (2, 3)], [(1, 2), (1, 4)]]"
1448,1,"[[(4, 0), (3, 0)], [(2, 1)], [(1, 2), (0, 2), (2, 2)], [(4, 4), (1, 4)], [(2, 3)], [(3, 3)], [(0, 0)]]"
1449,1,"[[(2, 2), (0, 2)], [(4, 4), (1, 4)], [(2, 1)], [(2, 3)], [(4, 0), (0, 0), (3, 0)], [(1, 2)], [(3, 3)]]"
1450,2,"[[(3, 0), (0, 0), (4, 0)], [(1, 2), (1, 4)], [(4, 4)], [(2, 2)], [(2, 3)], [(0, 2)], [(3, 3)], [(2, 1)]]"
1451,2,"[[(3, 3)], [(0, 0)], [(0, 2)], [(2, 1)], [(1, 4), (1, 2)], [(3, 0)], [(2, 3), (2, 2)], [(4, 0), (4, 4)]]"
1452,2,"[[(1, 4), (1, 2)], [(4, 0)], [(3, 0), (3, 3)], [(2, 2)], [(2, 1)], [(4, 4)], [(2, 3)], [(0, 0), (0, 2)]]"
1453,1,"[[(2, 2), (1, 2)], [(4, 4), (4, 0)], [(1, 4)], [(0, 0)], [(0, 2)], [(3, 0)], [(2, 3)], [(2, 1)], [(3, 3)]]"
1454,1,"[[(2, 1)], [(1, 2)], [(3, 0), (3, 3)], [(2, 2)], [(4, 4), (4, 0)], [(0, 0)], [(0, 2)], [(1, 4)], [(2, 3)]]"
1455,1,"[[(4, 4), (1, 4)], [(3, 3), (2, 3)], [(4, 0)], [(2, 1)], [(0, 0)], [(1, 2), (2, 2), (0, 2)], [(3, 0)]]"
1456,1,"[[(3, 3), (2, 3)], [(2, 1)], [(4, 0), (0, 0), (3, 0)], [(1, 4), (4, 4)], [(0, 2), (1, 2), (2, 2)]]"
1457,1,"[[(1, 2), (0, 2)], [(1, 4)], [(2, 1)], [(0, 0)], [(4, 4)], [(2, 3), (3, 3)], [(4, 0)], [(2, 2)], [(3, 0)]]"
1458,2,"[[(3, 0), (4, 0)], [(0, 2), (0, 0)], [(2, 3), (2, 1)], [(3, 3)], [(1, 4), (4, 4)], [(1, 2), (2, 2)]]"
1459,1,"[[(4, 0), (4, 4)], [(2, 2), (1, 2), (0, 2)], [(2, 3), (2, 1)], [(0, 0)], [(3, 3)], [(1, 4)], [(3, 0)]]"
1460,1,"[[(3, 0), (3, 3)], [(1, 2)], [(2, 2)], [(2, 1)], [(2, 3)], [(1, 4)], [(4, 4)], [(0, 2)], [(0, 0), (4, 0)]]"
1461,1,"[[(1, 4), (1, 2)], [(3, 3), (2, 3)], [(2, 1)], [(2, 2)], [(3, 0)], [(0, 2)], [(4, 0)], [(0, 0)], [(4, 4)]]"
1462,1,"[[(2, 2)], [(2, 1)], [(2, 3)], [(4, 0), (4, 4)], [(0, 2)], [(1, 4)], [(0, 0)], [(1, 2)], [(3, 0), (3, 3)]]"
1463,1,"[[(1, 2)], [(0, 2)], [(4, 4)], [(1, 4)], [(3, 3)], [(2, 2)], [(0, 0)], [(3, 0)], [(2, 3)], [(2, 1)], [(4, 0)]]"
1464,2,"[[(2, 1)], [(2, 2), (2, 3)], [(4, 4), (1, 4)], [(1, 2), (0, 2)], [(3, 0), (3, 3)], [(0, 0), (4, 0)]]"
1465,2,"[[(2, 2), (2, 3)], [(2, 1)], [(3, 0)], [(1, 2), (1, 4)], [(4, 0), (0, 0)], [(0, 2)], [(3, 3)], [(4, 4)]]"
1466,2,"[[(0, 2), (0, 0)], [(4, 0)], [(1, 4), (1, 2)], [(2, 2)], [(2, 1)], [(4, 4)], [(3, 0)], [(2, 3), (3, 3)]]"
1467,1,"[[(4, 4)], [(3, 0), (4, 0)], [(2, 1)], [(3, 3)], [(2, 3)], [(0, 0)], [(0, 2)], [(2, 2)], [(1, 2), (1, 4)]]"
1468,2,"[[(3, 0)], [(4, 4), (4, 0)], [(1, 2)], [(3, 3), (2, 3)], [(1, 4)], [(0, 0)], [(0, 2)], [(2, 1), (2, 2)]]"
1469,2,"[[(1, 4), (4, 4)], [(0, 0)], [(2, 1), (2, 2), (2, 3)], [(0, 2), (1, 2)], [(3, 0), (4, 0)], [(3, 3)]]"
1470,1,"[[(2, 3)], [(4, 0)], [(3, 3)], [(4, 4)], [(2, 1)], [(1, 4)], [(2, 2)], [(3, 0)], [(0, 2)], [(0, 0)], [(1, 2)]]"
1471,2,"[[(3, 3), (2, 3)], [(4, 4), (1, 4)], [(1, 2)], [(2, 2), (2, 1)], [(4, 0), (3, 0), (0, 0)], [(0, 2)]]"
1472,2,"[[(4, 4), (1, 4)], [(2, 3)], [(2, 1)], [(3, 3)], [(2, 2), (1, 2), (0, 2)], [(0, 0), (3, 0), (4, 0)]]"
1473,1,"[[(1, 2), (2, 2), (0, 2)], [(0, 0)], [(4, 4)], [(3, 3)], [(2, 3)], [(1, 4)], [(3, 0)], [(2, 1)], [(4, 0)]]"
1474,1,"[[(4, 4), (1, 4)], [(4, 0)], [(3, 3)], [(3, 0)], [(0, 2), (0, 0)], [(2, 1), (2, 2), (2, 3)], [(1, 2)]]"
1475,1,"[[(1, 4)], [(3, 0), (3, 3)], [(0, 2)], [(0, 0)], [(4, 4), (4, 0)], [(1, 2)], [(2, 1), (2, 2), (2, 3)]]"
1476,1,"[[(2, 3)], [(2, 1)], [(4, 4), (4, 0)], [(3, 3)], [(1, 4), (1, 2)], [(3, 0), (0, 0)], [(0, 2), (2, 2)]]"
1477,1,"[[(1, 2)], [(0, 0)], [(3, 0)], [(2, 1)], [(2, 3), (3, 3)], [(4, 4)], [(1, 4)], [(0, 2), (2, 2)], [(4, 0)]]"
1478,2,"[[(3, 0), (3, 3)], [(4, 0), (4, 4)], [(2, 1)], [(0, 0)], [(0, 2), (2, 2)], [(1, 4)], [(1, 2)], [(2, 3)]]"
1479,2,"[[(4, 4), (1, 4)], [(4, 0)], [(0, 0), (0, 2)], [(2, 1)], [(1, 2)], [(3, 3), (2, 3)], [(2, 2)], [(3, 0)]]"
1480,2,"[[(4, 4), (4, 0)], [(0, 0), (3, 0)], [(3, 3)], [(0, 2)], [(2, 2), (1, 2)], [(2, 1)], [(1, 4)], [(2, 3)]]"
1481,1,"[[(2, 3), (2, 1)], [(3, 3)], [(1, 2)], [(4, 0)], [(2, 2)], [(1, 4)], [(3, 0), (0, 0)], [(0, 2)], [(4, 4)]]"
1482,2,"[[(2, 1), (2, 3)], [(1, 4), (4, 4)], [(2, 2)], [(4, 0)], [(3, 3)], [(1, 2)], [(3, 0)], [(0, 0), (0, 2)]]"
1483,2,"[[(4, 0)], [(2, 3), (3, 3)], [(2, 1)], [(2, 2), (1, 2)], [(1, 4)], [(3, 0)], [(4, 4)], [(0, 0), (0, 2)]]"
1484,2,"[[(2, 3)], [(2, 1)], [(1, 2), (1, 4)], [(0, 2), (2, 2)], [(3, 3), (3, 0)], [(4, 0)], [(0, 0)], [(4, 4)]]"
1485,2,"[[(1, 2), (1, 4)], [(3, 0)], [(4, 4), (4, 0)], [(2, 2), (0, 2)], [(0, 0)], [(2, 3)], [(2, 1)], [(3, 3)]]"
1486,1,"[[(4, 4), (1, 4)], [(3, 0)], [(2, 3), (2, 1)], [(3, 3)], [(0, 0)], [(4, 0)], [(0, 2), (1, 2), (2, 2)]]"
1487,1,"[[(4, 4), (4, 0)], [(0, 2)], [(2, 3)], [(1, 4)], [(3, 3)], [(1, 2), (2, 2)], [(3, 0)], [(0, 0)], [(2, 1)]]"
1488,1,"[[(2, 2), (1, 2)], [(3, 3)], [(0, 2)], [(3, 0), (0, 0), (4, 0)], [(2, 3)], [(2, 1)], [(1, 4), (4, 4)]]"
1489,2,"[[(4, 4), (4, 0)], [(3, 0), (0, 0)], [(2, 1)], [(2, 2)], [(2, 3)], [(3, 3)], [(0, 2)], [(1, 2), (1, 4)]]"
1490,1,"[[(0, 2), (0, 0)], [(3, 3)], [(2, 1)], [(3, 0)], [(4, 0)], [(2, 3)], [(4, 4)], [(1, 2), (1, 4)], [(2, 2)]]"
1491,2,"[[(3, 0), (0, 0), (4, 0)], [(1, 4), (4, 4)], [(3, 3)], [(2, 2)], [(0, 2)], [(2, 1)], [(2, 3)], [(1, 2)]]"
1492,1,"[[(2, 2), (0, 2), (1, 2)], [(3, 0), (0, 0)], [(3, 3), (2, 3)], [(1, 4)], [(4, 0)], [(2, 1)], [(4, 4)]]"
1493,1,"[[(0, 0), (4, 0), (3, 0)], [(2, 1), (2, 2), (2, 3)], [(0, 2)], [(4, 4)], [(1, 2)], [(3, 3)], [(1, 4)]]"
1494,1,"[[(4, 0), (0, 0)], [(1, 2), (1, 4)], [(2, 1), (2, 2), (2, 3)], [(3, 0)], [(4, 4)], [(0, 2)], [(3, 3)]]"
1495,1,"[[(2, 2), (0, 2)], [(1, 2)], [(3, 3), (3, 0)], [(2, 1)], [(2, 3)], [(0, 0), (4, 0)], [(1, 4), (4, 4)]]"
1496,2,"[[(3, 3), (2, 3)], [(1, 2), (0, 2)], [(4, 0)], [(3, 0)], [(4, 4)], [(2, 1), (2, 2)], [(1, 4)], [(0, 0)]]"
1497,1,"[[(4, 0), (0, 0), (3, 0)], [(4, 4)], [(2, 1)], [(2, 2), (2, 3)], [(3, 3)], [(0, 2), (1, 2)], [(1, 4)]]"
1498,2,"[[(0, 0)], [(4, 0), (3, 0)], [(1, 4), (4, 4)], [(2, 3)], [(0, 2)], [(3, 3)], [(1, 2)], [(2, 1), (2, 2)]]"
1499,1,"[[(1, 2), (1, 4)], [(2, 3), (2, 2)], [(4, 4)], [(0, 0), (3, 0), (4, 0)], [(0, 2)], [(2, 1)], [(3, 3)]]"
1500,2,"[[(3, 0), (3, 3)], [(0, 2), (0, 0)], [(4, 0)], [(2, 2), (1, 2)], [(2, 1)], [(4, 4)], [(2, 3)], [(1, 4)]]"
1501,1,"[[(0, 2)], [(3, 3), (2, 3)], [(4, 4), (1, 4)], [(0, 0), (3, 0), (4, 0)], [(2, 2)], [(1, 2)], [(2, 1)]]"
1502,1,"[[(0, 0)], [(0, 2)], [(3, 0)], [(3, 3)], [(1, 2)], [(1, 4)], [(2, 3)], [(4, 0), (4, 4)], [(2, 1), (2, 2)]]"
1503,2,"[[(1, 2)], [(1, 4)], [(4, 4)], [(0, 0), (0, 2)], [(2, 2)], [(2, 1)], [(4, 0)], [(3, 3)], [(2, 3)], [(3, 0)]]"
1504,2,"[[(2, 1)], [(0, 2), (0, 0)], [(3, 0), (4, 0)], [(1, 2), (2, 2)], [(1, 4), (4, 4)], [(2, 3), (3, 3)]]"
1505,2,"[[(0, 2)], [(1, 4)], [(0, 0), (4, 0), (3, 0)], [(1, 2)], [(4, 4)], [(2, 1)], [(2, 2)], [(2, 3), (3, 3)]]"
1506,1,"[[(2, 1), (2, 2), (2, 3)], [(3, 0)], [(4, 4), (4, 0)], [(1, 2)], [(1, 4)], [(0, 2), (0, 0)], [(3, 3)]]"
1507,2,"[[(2, 1)], [(4, 0), (4, 4)], [(2, 2)], [(2, 3)], [(3, 0)], [(1, 4)], [(1, 2)], [(0, 2)], [(0, 0)], [(3, 3)]]"
1508,1,"[[(3, 0)], [(4, 4), (1, 4)], [(4, 0)], [(0, 2)], [(3, 3), (2, 3)], [(2, 1)], [(1, 2)], [(2, 2)], [(0, 0)]]"
1509,1,"[[(2, 1)], [(4, 0), (4, 4)], [(1, 4)], [(1, 2)], [(0, 2), (2, 2)], [(3, 3), (2, 3)], [(0, 0), (3, 0)]]"
1510,1,"[[(1, 4), (4, 4)], [(2, 3), (2, 1), (2, 2)], [(3, 0), (0, 0), (4, 0)], [(3, 3)], [(0, 2), (1, 2)]]"
1511,1,"[[(3, 3)], [(0, 0), (4, 0)], [(2, 3)], [(1, 4)], [(3, 0)], [(2, 1), (2, 2)], [(0, 2)], [(4, 4)], [(1, 2)]]"
1512,2,"[[(2, 1)], [(4, 4), (1, 4)], [(0, 0), (4, 0), (3, 0)], [(1, 2)], [(2, 3)], [(0, 2)], [(3, 3)], [(2, 2)]]"
1513,1,"[[(1, 2)], [(3, 0), (3, 3)], [(0, 0), (0, 2)], [(4, 4), (1, 4)], [(2, 1)], [(4, 0)], [(2, 2), (2, 3)]]"
1514,2,"[[(3, 3), (2, 3)], [(4, 0)], [(4, 4), (1, 4)], [(3, 0), (0, 0)], [(2, 2)], [(1, 2)], [(0, 2)], [(2, 1)]]"
1515,1,"[[(1, 4)], [(4, 4)], [(0, 2)], [(0, 0), (4, 0)], [(3, 3)], [(2, 1)], [(2, 3)], [(1, 2), (2, 2)], [(3, 0)]]"
1516,2,"[[(4, 4)], [(3, 3), (3, 0)], [(2, 1)], [(2, 2)], [(1, 4)], [(0, 2)], [(2, 3)], [(4, 0)], [(0, 0)], [(1, 2)]]"
1517,2,"[[(3, 3), (2, 3)], [(2, 1)], [(3, 0)], [(2, 2)], [(1, 2), (1, 4)], [(4, 0), (0, 0)], [(0, 2)], [(4, 4)]]"
1518,1,"[[(4, 4), (4, 0)], [(2, 3)], [(2, 1)], [(0, 0)], [(3, 3)], [(1, 2), (0, 2)], [(2, 2)], [(1, 4)], [(3, 0)]]"
1519,2,"[[(2, 3), (3, 3)], [(4, 0), (4, 4)], [(3, 0)], [(0, 0), (0, 2)], [(1, 2)], [(2, 2)], [(1, 4)], [(2, 1)]]"
1520,2,"[[(1, 2)], [(2, 3), (2, 1), (2, 2)], [(1, 4), (4, 4)], [(0, 2), (0, 0)], [(3, 0), (4, 0)], [(3, 3)]]"
1521,1,"[[(4, 4)], [(2, 1), (2, 2), (2, 3)], [(3, 0)], [(4, 0)], [(3, 3)], [(1, 4), (1, 2)], [(0, 0), (0, 2)]]"
1522,1,"[[(4, 0), (0, 0), (3, 0)], [(2, 1)], [(2, 3), (2, 2)], [(4, 4)], [(1, 4)], [(3, 3)], [(0, 2), (1, 2)]]"
1523,1,"[[(4, 0)], [(0, 0)], [(2, 3), (3, 3)], [(1, 4)], [(4, 4)], [(2, 2)], [(2, 1)], [(3, 0)], [(0, 2), (1, 2)]]"
1524,2,"[[(0, 2)], [(0, 0)], [(2, 3), (3, 3)], [(4, 4)], [(4, 0)], [(1, 4), (1, 2)], [(2, 1), (2, 2)], [(3, 0)]]"
1525,1,"[[(4, 4)], [(0, 0), (0, 2)], [(1, 2)], [(1, 4)], [(3, 3)], [(2, 2)], [(3, 0)], [(4, 0)], [(2, 1), (2, 3)]]"
1526,1,"[[(2, 1), (2, 2), (2, 3)], [(4, 4), (1, 4)], [(4, 0)], [(1, 2)], [(3, 3)], [(3, 0)], [(0, 0), (0, 2)]]"
1527,2,"[[(4, 0), (0, 0), (3, 0)], [(4, 4), (1, 4)], [(2, 2), (1, 2)], [(0, 2)], [(2, 1)], [(2, 3), (3, 3)]]"
1528,1,"[[(3, 0), (3, 3)], [(2, 1)], [(4, 0)], [(1, 4)], [(2, 3)], [(0, 2), (1, 2)], [(0, 0)], [(4, 4)], [(2, 2)]]"
1529,1,"[[(2, 3), (2, 1), (2, 2)], [(3, 0), (0, 0), (4, 0)], [(1, 4), (4, 4)], [(1, 2), (0, 2)], [(3, 3)]]"
1530,1,"[[(4, 4)], [(1, 2)], [(3, 0)], [(1, 4)], [(4, 0)], [(2, 3), (2, 1)], [(3, 3)], [(0, 2), (2, 2)], [(0, 0)]]"
1531,2,"[[(1, 4)], [(2, 1)], [(3, 3)], [(2, 3)], [(1, 2)], [(4, 4)], [(3, 0), (0, 0), (4, 0)], [(0, 2), (2, 2)]]"
1532,1,"[[(1, 2)], [(2, 1)], [(2, 2)], [(2, 3)], [(0, 0), (4, 0), (3, 0)], [(0, 2)], [(1, 4)], [(3, 3)], [(4, 4)]]"
1533,2,"[[(3, 3)], [(4, 0)], [(4, 4)], [(2, 3)], [(3, 0), (0, 0)], [(0, 2)], [(2, 2), (2, 1)], [(1, 2), (1, 4)]]"
1534,1,"[[(2, 2)], [(1, 2), (1, 4)], [(2, 1), (2, 3)], [(0, 2), (0, 0)], [(3, 3)], [(4, 4)], [(3, 0), (4, 0)]]"
1535,2,"[[(1, 4)], [(0, 0)], [(0, 2), (1, 2)], [(4, 0)], [(3, 0)], [(4, 4)], [(3, 3)], [(2, 1), (2, 2), (2, 3)]]"
1536,1,"[[(2, 1)], [(1, 2)], [(3, 3), (2, 3)], [(1, 4)], [(3, 0)], [(0, 0), (0, 2)], [(4, 4)], [(2, 2)], [(4, 0)]]"
1537,2,"[[(4, 4)], [(1, 4)], [(0, 2)], [(3, 3)], [(2, 1)], [(2, 3)], [(2, 2)], [(4, 0)], [(1, 2)], [(0, 0), (3, 0)]]"
1538,2,"[[(3, 3)], [(2, 1)], [(1, 4), (4, 4)], [(1, 2)], [(0, 0), (3, 0)], [(4, 0)], [(2, 3)], [(0, 2), (2, 2)]]"
1539,1,"[[(2, 1)], [(2, 3)], [(3, 3)], [(4, 0)], [(1, 4), (4, 4)], [(3, 0)], [(2, 2)], [(0, 2), (0, 0)], [(1, 2)]]"
1540,2,"[[(1, 4), (4, 4)], [(2, 2)], [(2, 1)], [(0, 2), (1, 2)], [(3, 3), (2, 3)], [(0, 0), (3, 0), (4, 0)]]"
1541,1,"[[(4, 4), (4, 0)], [(2, 1)], [(3, 3), (3, 0)], [(0, 2)], [(1, 2), (1, 4)], [(0, 0)], [(2, 2), (2, 3)]]"
1542,2,"[[(2, 1)], [(4, 4)], [(2, 3), (2, 2)], [(4, 0)], [(0, 2)], [(3, 3), (3, 0)], [(0, 0)], [(1, 2), (1, 4)]]"
1543,2,"[[(4, 4)], [(1, 4)], [(2, 3)], [(3, 3)], [(3, 0), (4, 0)], [(2, 1)], [(0, 0)], [(0, 2), (1, 2), (2, 2)]]"
1544,2,"[[(0, 0)], [(3, 0)], [(2, 3), (3, 3)], [(2, 1)], [(2, 2)], [(4, 0), (4, 4)], [(0, 2)], [(1, 2), (1, 4)]]"
1545,1,"[[(3, 3), (2, 3)], [(4, 4), (1, 4)], [(0, 0)], [(2, 2), (1, 2), (0, 2)], [(4, 0)], [(2, 1)], [(3, 0)]]"
1546,2,"[[(2, 3), (2, 1)], [(1, 2)], [(3, 3)], [(4, 4)], [(1, 4)], [(0, 0), (3, 0)], [(4, 0)], [(0, 2), (2, 2)]]"
1547,2,"[[(2, 1)], [(0, 2), (0, 0)], [(1, 2), (2, 2)], [(3, 0), (4, 0)], [(1, 4)], [(3, 3)], [(4, 4)], [(2, 3)]]"
1548,1,"[[(3, 3)], [(2, 2)], [(2, 3)], [(1, 4)], [(4, 4), (4, 0)], [(1, 2)], [(2, 1)], [(0, 0), (0, 2)], [(3, 0)]]"
1549,1,"[[(0, 2), (0, 0)], [(2, 1)], [(2, 3), (2, 2)], [(3, 3)], [(1, 2)], [(4, 4)], [(4, 0)], [(1, 4)], [(3, 0)]]"
1550,2,"[[(2, 1), (2, 3), (2, 2)], [(1, 2), (0, 2)], [(4, 0)], [(4, 4)], [(3, 3)], [(3, 0)], [(1, 4)], [(0, 0)]]"
1551,1,"[[(3, 0)], [(2, 1)], [(3, 3)], [(4, 0), (4, 4)], [(2, 3)], [(0, 0)], [(0, 2)], [(2, 2)], [(1, 2), (1, 4)]]"
1552,2,"[[(4, 4)], [(1, 4)], [(3, 0), (3, 3)], [(4, 0)], [(0, 2), (0, 0)], [(2, 3)], [(2, 1)], [(1, 2), (2, 2)]]"
1553,2,"[[(4, 4), (1, 4)], [(2, 1)], [(3, 3)], [(1, 2)], [(0, 0)], [(2, 2), (0, 2)], [(2, 3)], [(3, 0), (4, 0)]]"
1554,2,"[[(4, 4)], [(2, 3)], [(3, 0), (4, 0), (0, 0)], [(2, 1), (2, 2)], [(3, 3)], [(1, 2)], [(1, 4)], [(0, 2)]]"
1555,2,"[[(3, 0)], [(2, 1)], [(4, 4)], [(4, 0)], [(0, 0)], [(3, 3)], [(0, 2)], [(2, 3)], [(1, 2), (2, 2)], [(1, 4)]]"
1556,2,"[[(1, 4), (1, 2)], [(0, 0), (0, 2)], [(3, 3), (3, 0)], [(4, 0)], [(4, 4)], [(2, 1), (2, 2), (2, 3)]]"
1557,2,"[[(0, 2)], [(3, 0), (0, 0)], [(2, 2)], [(2, 1)], [(4, 4), (4, 0)], [(1, 4)], [(1, 2)], [(2, 3), (3, 3)]]"
1558,1,"[[(2, 1)], [(2, 2), (0, 2), (1, 2)], [(3, 3), (2, 3)], [(3, 0), (0, 0), (4, 0)], [(1, 4), (4, 4)]]"
1559,1,"[[(2, 3)], [(1, 4)], [(2, 2), (1, 2)], [(3, 3)], [(4, 4)], [(0, 2)], [(0, 0)], [(3, 0), (4, 0)], [(2, 1)]]"
1560,2,"[[(0, 0), (3, 0)], [(4, 4), (1, 4)], [(2, 1)], [(1, 2)], [(4, 0)], [(2, 2)], [(0, 2)], [(2, 3), (3, 3)]]"
1561,2,"[[(4, 4), (4, 0)], [(2, 1), (2, 2)], [(1, 2)], [(2, 3)], [(0, 2), (0, 0)], [(3, 3)], [(1, 4)], [(3, 0)]]"
1562,1,"[[(1, 4), (1, 2)], [(3, 0), (0, 0)], [(4, 0)], [(2, 1)], [(0, 2)], [(4, 4)], [(2, 3)], [(3, 3)], [(2, 2)]]"
1563,1,"[[(3, 0), (3, 3)], [(4, 4), (1, 4)], [(4, 0)], [(2, 3)], [(2, 1), (2, 2)], [(1, 2)], [(0, 0), (0, 2)]]"
1564,2,"[[(2, 1)], [(4, 4)], [(4, 0), (0, 0)], [(0, 2)], [(1, 4), (1, 2)], [(2, 2)], [(3, 0), (3, 3)], [(2, 3)]]"
1565,1,"[[(4, 0), (3, 0), (0, 0)], [(2, 1)], [(1, 2), (0, 2), (2, 2)], [(1, 4), (4, 4)], [(2, 3), (3, 3)]]"
1566,2,"[[(0, 2), (0, 0)], [(2, 1)], [(3, 3), (2, 3)], [(3, 0)], [(1, 4), (4, 4)], [(1, 2)], [(4, 0)], [(2, 2)]]"
1567,1,"[[(2, 3)], [(1, 4), (1, 2)], [(0, 0), (0, 2)], [(2, 2), (2, 1)], [(3, 3)], [(3, 0)], [(4, 0), (4, 4)]]"
1568,2,"[[(4, 0), (4, 4)], [(2, 3)], [(1, 4)], [(3, 3)], [(2, 1)], [(0, 2), (0, 0)], [(3, 0)], [(1, 2), (2, 2)]]"
1569,2,"[[(2, 2)], [(2, 1)], [(3, 3), (3, 0)], [(1, 4), (4, 4)], [(2, 3)], [(0, 2), (0, 0)], [(1, 2)], [(4, 0)]]"
1570,1,"[[(2, 2), (0, 2), (1, 2)], [(4, 4), (1, 4)], [(2, 1), (2, 3)], [(0, 0), (3, 0), (4, 0)], [(3, 3)]]"
1571,2,"[[(1, 4), (1, 2)], [(3, 3)], [(2, 1)], [(2, 2)], [(3, 0), (0, 0), (4, 0)], [(4, 4)], [(0, 2)], [(2, 3)]]"
1572,2,"[[(2, 3)], [(2, 1)], [(3, 3), (3, 0)], [(1, 4), (1, 2)], [(0, 2)], [(2, 2)], [(0, 0)], [(4, 0), (4, 4)]]"
1573,2,"[[(2, 1)], [(3, 3), (2, 3)], [(4, 0), (0, 0), (3, 0)], [(4, 4)], [(1, 2), (1, 4)], [(0, 2), (2, 2)]]"
1574,2,"[[(0, 2), (0, 0)], [(1, 2)], [(2, 1)], [(1, 4)], [(3, 0), (3, 3)], [(2, 2)], [(2, 3)], [(4, 0), (4, 4)]]"
1575,1,"[[(4, 4)], [(1, 2)], [(4, 0)], [(1, 4)], [(0, 0), (0, 2)], [(3, 0)], [(2, 2)], [(3, 3)], [(2, 1), (2, 3)]]"
1576,1,"[[(0, 0), (0, 2)], [(1, 4), (4, 4)], [(1, 2)], [(2, 2)], [(3, 3), (3, 0)], [(4, 0)], [(2, 1), (2, 3)]]"
1577,1,"[[(2, 3)], [(2, 1), (2, 2)], [(3, 3), (3, 0)], [(1, 2), (1, 4)], [(4, 4)], [(0, 0), (0, 2)], [(4, 0)]]"
1578,2,"[[(4, 4), (4, 0)], [(0, 0)], [(0, 2)], [(3, 0)], [(1, 4)], [(3, 3), (2, 3)], [(1, 2)], [(2, 1), (2, 2)]]"
1579,1,"[[(1, 4)], [(0, 0)], [(3, 0)], [(2, 3)], [(0, 2)], [(3, 3)], [(4, 0), (4, 4)], [(2, 2), (2, 1)], [(1, 2)]]"
1580,2,"[[(1, 4), (4, 4)], [(2, 1)], [(4, 0)], [(0, 0)], [(2, 3), (2, 2)], [(0, 2)], [(1, 2)], [(3, 0), (3, 3)]]"
1581,1,"[[(2, 3)], [(2, 1)], [(0, 2)], [(1, 4), (4, 4)], [(1, 2), (2, 2)], [(4, 0)], [(3, 0)], [(3, 3)], [(0, 0)]]"
1582,2,"[[(0, 0), (4, 0)], [(1, 2), (2, 2)], [(2, 3)], [(0, 2)], [(2, 1)], [(1, 4)], [(3, 3), (3, 0)], [(4, 4)]]"
1583,2,"[[(0, 2), (0, 0)], [(2, 1)], [(4, 4)], [(2, 2)], [(1, 2)], [(4, 0), (3, 0)], [(1, 4)], [(2, 3), (3, 3)]]"
1584,1,"[[(0, 0)], [(0, 2), (1, 2), (2, 2)], [(1, 4)], [(4, 4), (4, 0)], [(2, 1)], [(3, 0)], [(2, 3), (3, 3)]]"
1585,1,"[[(0, 0)], [(1, 2), (1, 4)], [(2, 2)], [(4, 4)], [(3, 0)], [(2, 3), (2, 1)], [(4, 0)], [(3, 3)], [(0, 2)]]"
1586,1,"[[(4, 4), (1, 4)], [(1, 2)], [(2, 3)], [(0, 0), (3, 0)], [(3, 3)], [(0, 2)], [(2, 2)], [(4, 0)], [(2, 1)]]"
1587,1,"[[(1, 2)], [(4, 4)], [(0, 2), (0, 0)], [(1, 4)], [(3, 0)], [(3, 3), (2, 3)], [(2, 2)], [(4, 0)], [(2, 1)]]"
1588,2,"[[(3, 3)], [(0, 2), (0, 0)], [(3, 0)], [(4, 0)], [(2, 3)], [(2, 2), (1, 2)], [(2, 1)], [(1, 4), (4, 4)]]"
1589,1,"[[(2, 3)], [(0, 0), (4, 0), (3, 0)], [(2, 1)], [(3, 3)], [(1, 4)], [(4, 4)], [(0, 2), (1, 2), (2, 2)]]"
